"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3725","test_order_scooter_flow_top[data1]","tests","2025-11-25","passed","2025-11-25","TestOrderFlow","test_order_flow","",""
"","2126","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","2427","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","2196","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","3866","test_order_scooter_flow_bottom[data0]","tests","2025-11-25","passed","2025-11-25","TestOrderFlow","test_order_flow","",""
"","2081","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","7200","Переход по лого 'Яндекс' → Дзен (новая вкладка)","tests","2025-11-25","passed","2025-11-25","TestLogoLinks","test_logo_links","",""
"","2185","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","2103","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","2401","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","4118","test_order_scooter_flow_bottom[data1]","tests","2025-11-25","passed","2025-11-25","TestOrderFlow","test_order_flow","",""
"","2107","Переход по лого 'Самокат' → главная страница","tests","2025-11-25","passed","2025-11-25","TestLogoLinks","test_logo_links","",""
"","1965","Проверка текста ответов FAQ","tests","2025-11-25","passed","2025-11-25","TestFAQ","test_faq","",""
"","3777","test_order_scooter_flow_top[data0]","tests","2025-11-25","passed","2025-11-25","TestOrderFlow","test_order_flow","",""
